,cik_str,ticker,title,sic,sicDescription,category,entityType,exchanges,fiscalYearEnd,stateOfIncorporation
90,60667,LOW,LOWES COMPANIES INC,5211,Retail-Lumber & Other Building Materials Dealers,Large accelerated filer,operating,['NYSE'],02-02,NC
91,886982,GS,GOLDMAN SACHS GROUP INC,6211,"Security Brokers, Dealers & Flotation Companies",Large accelerated filer,operating,"['NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'OTC']",31-12,DE
92,1378580,EADSY,Airbus SE/ADR,8880,American Depositary Receipts,,other,"['OTC', 'OTC']",,
93,6951,AMAT,APPLIED MATERIALS INC /DE,3674,Semiconductors & Related Devices,Large accelerated filer,operating,['Nasdaq'],29-10,DC
94,1045609,PLD,"Prologis, Inc.",6798,Real Estate Investment Trusts,Large accelerated filer,operating,"['NYSE', 'OTC']",31-12,MD
95,101829,RTX,RTX Corp,3724,Aircraft Engines & Engine Parts,Large accelerated filer,operating,['NYSE'],31-12,DE
96,1075531,BKNG,Booking Holdings Inc.,4700,Transportation Services,Large accelerated filer,operating,['Nasdaq'],31-12,DE
97,217410,UL,UNILEVER PLC,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",Large accelerated filer,other,"['NYSE', 'OTC']",31-12,
98,316709,SCHW,SCHWAB CHARLES CORP,6211,"Security Brokers, Dealers & Flotation Companies",Large accelerated filer,operating,"['NYSE', 'NYSE', 'NYSE']",31-12,DE
99,732717,T,AT&T INC.,4813,Telephone Communications (No Radiotelephone),Large accelerated filer,operating,"['NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE']",31-12,DE
100,313838,SONY,Sony Group Corp,3651,Household Audio & Video Equipment,Large accelerated filer,other,"['NYSE', 'OTC']",31-03,M0
101,1364742,BLK,BlackRock Inc.,6211,"Security Brokers, Dealers & Flotation Companies",Large accelerated filer,operating,['NYSE'],31-12,DE
102,310764,SYK,STRYKER CORP,3841,Surgical & Medical Instruments & Apparatus,Large accelerated filer,operating,['NYSE'],31-12,MI
103,863064,RIO,RIO TINTO PLC,1000,Metal Mining,Large accelerated filer,other,"['NYSE', 'OTC']",31-12,X0
104,1613103,MDT,Medtronic plc,3845,Electromedical & Electrotherapeutic Apparatus,Large accelerated filer,operating,['NYSE'],26-04,
105,936468,LMT,LOCKHEED MARTIN CORP,3760,Guided Missiles & Space Vehicles & Parts,Large accelerated filer,operating,['NYSE'],31-12,MD
106,1156039,ELV,"Elevance Health, Inc.",6324,Hospital & Medical Service Plans,Large accelerated filer,operating,['NYSE'],31-12,IN
107,947263,TD,TORONTO DOMINION BANK,6029,"Commercial Banks, NEC",,other,"['NYSE', 'OTC', 'OTC', 'OTC']",31-10,A6
108,315189,DE,DEERE & CO,3523,Farm Machinery & Equipment,Large accelerated filer,operating,['NYSE'],29-10,DE
109,875320,VRTX,VERTEX PHARMACEUTICALS INC / MA,2834,Pharmaceutical Preparations,Large accelerated filer,operating,['Nasdaq'],31-12,MA
110,109198,TJX,TJX COMPANIES INC /DE/,5651,Retail-Family Clothing Stores,Large accelerated filer,operating,['NYSE'],01-02,DE
111,829224,SBUX,STARBUCKS CORP,5810,Retail-Eating & Drinking Places,Large accelerated filer,operating,['Nasdaq'],27-09,WA
112,882095,GILD,"GILEAD SCIENCES, INC.",2836,"Biological Products, (No Diagnostic Substances)",Large accelerated filer,operating,['Nasdaq'],31-12,DE
113,67088,MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC,6029,"Commercial Banks, NEC",Large accelerated filer,other,"['NYSE', 'OTC']",31-03,
114,1594805,SHOP,SHOPIFY INC.,7372,Services-Prepackaged Software,,other,['NYSE'],31-12,Z4
115,1119639,PBR,PETROBRAS - PETROLEO BRASILEIRO SA,1311,Crude Petroleum & Natural Gas,Large accelerated filer,other,"['NYSE', 'NYSE']",31-12,D5
116,14272,BMY,BRISTOL MYERS SQUIBB CO,2834,Pharmaceutical Preparations,Large accelerated filer,operating,"['NYSE', 'OTC', 'NYSE']",31-12,DE
117,64803,CVS,CVS HEALTH Corp,5912,Retail-Drug Stores and Proprietary Stores,Large accelerated filer,operating,['NYSE'],31-12,DE
118,831001,C,CITIGROUP INC,6021,National Commercial Banks,Large accelerated filer,operating,"['NYSE', 'NYSE', 'NYSE', 'NYSE']",31-12,DE
119,313807,BP,BP PLC,2911,Petroleum Refining,Large accelerated filer,other,"['NYSE', 'OTC']",31-12,X0
120,1103982,MDLZ,"Mondelez International, Inc.",2000,Food and Kindred Products,Large accelerated filer,operating,['Nasdaq'],31-12,IL
121,1327567,PANW,Palo Alto Networks Inc,3577,"Computer Peripheral Equipment, NEC",Large accelerated filer,operating,['Nasdaq'],31-07,DE
122,707549,LRCX,LAM RESEARCH CORP,3559,"Special Industry Machinery, NEC",Large accelerated filer,operating,['Nasdaq'],30-06,DE
123,872589,REGN,"REGENERON PHARMACEUTICALS, INC.",2834,Pharmaceutical Preparations,Large accelerated filer,operating,['Nasdaq'],31-12,NY
124,1053507,AMT,AMERICAN TOWER CORP /MA/,6798,Real Estate Investment Trusts,Large accelerated filer,operating,['NYSE'],31-12,DE
125,1610520,UBS,UBS Group AG,6021,National Commercial Banks,Large accelerated filer,other,['NYSE'],31-12,V8
126,8670,ADP,AUTOMATIC DATA PROCESSING INC,7374,Services-Computer Processing & Data Preparation,Large accelerated filer,operating,['Nasdaq'],30-06,DE
127,80661,PGR,PROGRESSIVE CORP/OH/,6331,"Fire, Marine & Casualty Insurance",Large accelerated filer,operating,['NYSE'],31-12,OH
128,1551182,ETN,Eaton Corp plc,3590,Misc Industrial & Commercial Machinery & Equipment,Large accelerated filer,operating,['NYSE'],31-12,
129,1274152,CSLLY,CSL LTD,0,,,other,"['OTC', 'OTC']",,
130,62709,MMC,"MARSH & MCLENNAN COMPANIES, INC.",6411,"Insurance Agents, Brokers & Service",Large accelerated filer,operating,['NYSE'],31-12,DE
131,6281,ADI,ANALOG DEVICES INC,3674,Semiconductors & Related Devices,Large accelerated filer,operating,['Nasdaq'],28-10,MA
132,896159,CB,Chubb Ltd,6331,"Fire, Marine & Casualty Insurance",Large accelerated filer,operating,['NYSE'],31-12,V8
133,1555280,ZTS,Zoetis Inc.,2834,Pharmaceutical Preparations,Large accelerated filer,operating,['NYSE'],31-12,
134,723125,MU,MICRON TECHNOLOGY INC,3674,Semiconductors & Related Devices,Large accelerated filer,operating,['Nasdaq'],29-08,DE
135,1559720,ABNB,"Airbnb, Inc.",7340,Services-To Dwellings & Other Buildings,Large accelerated filer,operating,['Nasdaq'],31-12,DE
136,1739940,CI,Cigna Group,6324,Hospital & Medical Service Plans,Large accelerated filer,operating,['NYSE'],31-12,DE
137,1140625,EQNR,EQUINOR ASA,2911,Petroleum Refining,Large accelerated filer,other,"['NYSE', 'OTC']",31-12,
138,885725,BSX,BOSTON SCIENTIFIC CORP,3841,Surgical & Medical Instruments & Apparatus,Large accelerated filer,operating,['NYSE'],31-12,DE
139,1103838,IBN,ICICI BANK LTD,6029,"Commercial Banks, NEC",,other,['NYSE'],31-03,
140,1131399,GSK,GSK plc,2834,Pharmaceutical Preparations,Large accelerated filer,other,"['NYSE', 'OTC']",,X0
141,798354,FI,FISERV INC,7389,"Services-Business Services, NEC",Large accelerated filer,operating,['NYSE'],31-12,WI
142,1099590,MELI,MERCADOLIBRE INC,7389,"Services-Business Services, NEC",Large accelerated filer,operating,['Nasdaq'],31-12,
143,1443276,TOELY,Tokyo Electron LTD,0,,,other,"['OTC', 'OTC']",,
144,16868,CNI,CANADIAN NATIONAL RAILWAY CO,4011,"Railroads, Line-Haul Operating",,operating,['NYSE'],31-12,A8
145,835403,DEO,DIAGEO PLC,2080,Beverages,Large accelerated filer,other,"['NYSE', 'OTC']",30-06,X0
146,310732,BNPQY,BNP PARIBAS,8880,American Depositary Receipts,,other,"['OTC', 'OTC', 'OTC']",31-12,
147,1091587,ABBNY,ABB LTD,3613,Switchgear & Switchboard Apparatus,Large accelerated filer,other,"['OTC', 'OTC']",31-12,
148,895728,ENB,ENBRIDGE INC,4610,Pipe Lines (No Natural Gas),Large accelerated filer,operating,"['NYSE', 'OTC', 'OTC', 'OTC', 'OTC', 'OTC', 'OTC', 'OTC', 'OTC', 'OTC', 'OTC', 'OTC', 'OTC', 'OTC']",31-12,A0
149,92122,SO,SOUTHERN CO,4911,Electric Services,Large accelerated filer,operating,"['NYSE', 'NYSE', 'NYSE', 'NYSE']",31-12,DE
150,748954,ATLKY,ATLAS COPCO AB,8880,American Depositary Receipts,,other,"['OTC', 'OTC', 'OTC', 'OTC']",31-12,V7
151,948401,CFRUY,COMPAGNIE FINANCIERE RICHEMONT AG /FI,0,,,other,"['OTC', 'OTC']",,
152,1596532,ANET,"Arista Networks, Inc.",3576,Computer Communications Equipment,Large accelerated filer,operating,['NYSE'],31-12,DE
153,1442651,SHECY,"Shin-Etsu Chemical Co., Ltd.",0,,,other,"['OTC', 'OTC']",,
154,1326160,DUK,Duke Energy CORP,4931,Electric & Other Services Combined,Large accelerated filer,operating,"['NYSE', 'NYSE', 'NYSE']",31-12,DE
155,929869,RELX,RELX PLC,7389,"Services-Business Services, NEC",Large accelerated filer,other,"['NYSE', 'OTC']",31-12,X0
156,49826,ITW,ILLINOIS TOOL WORKS INC,3560,General Industrial Machinery & Equipment,Large accelerated filer,operating,['NYSE'],31-12,DE
157,883241,SNPS,SYNOPSYS INC,7372,Services-Prepackaged Software,Large accelerated filer,operating,['Nasdaq'],31-10,DE
158,89800,SHW,SHERWIN WILLIAMS CO,5200,"Retail-Building Materials, Hardware, Garden Supply",Large accelerated filer,operating,['NYSE'],31-12,OH
159,1067491,INFY,Infosys Ltd,7371,Services-Computer Programming Services,Large accelerated filer,other,['NYSE'],31-03,
160,1101239,EQIX,EQUINIX INC,6798,Real Estate Investment Trusts,Large accelerated filer,operating,['Nasdaq'],31-12,DE
161,860730,HCA,"HCA Healthcare, Inc.",8062,"Services-General Medical & Surgical Hospitals, NEC",Large accelerated filer,operating,['NYSE'],31-12,
162,319201,KLAC,KLA CORP,3827,Optical Instruments & Lenses,Large accelerated filer,operating,['Nasdaq'],30-06,DE
163,1096200,ENLAY,ENEL SOCIETA PER AZIONI,4911,Electric Services,,other,"['OTC', 'OTC']",31-12,
164,16875,CP,CANADIAN PACIFIC KANSAS CITY LTD/CN,4011,"Railroads, Line-Haul Operating",Large accelerated filer,operating,['NYSE'],31-12,
165,1067318,MBGYY,DAIMLER AG,3711,Motor Vehicles & Passenger Car Bodies,,other,"['OTC', 'OTC']",31-12,2M
166,1404912,KKR,KKR & Co. Inc.,6282,Investment Advice,Large accelerated filer,operating,"['NYSE', 'NYSE']",31-12,
167,1327811,WDAY,"Workday, Inc.",7374,Services-Computer Processing & Data Preparation,Large accelerated filer,operating,['Nasdaq'],31-01,DE
168,1973239,ARM,ARM HOLDINGS PLC /UK,3674,Semiconductors & Related Devices,,other,['Nasdaq'],31-03,X0
169,764180,MO,"ALTRIA GROUP, INC.",2111,Cigarettes,Large accelerated filer,operating,['NYSE'],31-12,VA
170,1571949,ICE,"Intercontinental Exchange, Inc.",6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",Large accelerated filer,operating,['NYSE'],31-12,DE
171,823768,WM,WASTE MANAGEMENT INC,4953,Refuse Systems,Large accelerated filer,operating,['NYSE'],31-12,DE
172,813672,CDNS,CADENCE DESIGN SYSTEMS INC,7372,Services-Prepackaged Software,Large accelerated filer,operating,['Nasdaq'],31-12,DE
173,1133421,NOC,NORTHROP GRUMMAN CORP /DE/,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",Large accelerated filer,operating,['NYSE'],31-12,
174,1156375,CME,CME GROUP INC.,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",Large accelerated filer,operating,['Nasdaq'],31-12,DE
175,1017413,CNQ,CANADIAN NATURAL RESOURCES LTD,1311,Crude Petroleum & Natural Gas,,other,['NYSE'],31-12,A0
176,1524684,GLNCY,Glencore plc/ADR,8880,American Depositary Receipts,,other,"['OTC', 'OTC']",,
177,927971,BMO,BANK OF MONTREAL /CAN/,6029,"Commercial Banks, NEC",,operating,"['NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE']",31-10,A6
178,10795,BDX,BECTON DICKINSON & CO,3841,Surgical & Medical Instruments & Apparatus,Large accelerated filer,operating,['NYSE'],30-09,NJ
179,1605484,STLA,Stellantis N.V.,3711,Motor Vehicles & Passenger Car Bodies,Large accelerated filer,other,['NYSE'],31-12,P7
180,87347,SLB,SCHLUMBERGER LIMITED/NV,1389,"Oil & Gas Field Services, NEC",Large accelerated filer,operating,['NYSE'],31-12,P8
181,1059556,MCO,MOODYS CORP /DE/,7320,"Services-Consumer Credit Reporting, Collection Agencies",Large accelerated filer,operating,['NYSE'],31-12,DE
182,40533,GD,GENERAL DYNAMICS CORP,3730,Ship & Boat Building & Repairing,Large accelerated filer,operating,['NYSE'],31-12,DE
183,277948,CSX,CSX CORP,4011,"Railroads, Line-Haul Operating",Large accelerated filer,operating,['Nasdaq'],31-12,VA
184,891478,SAN,"Banco Santander, S.A.",6029,"Commercial Banks, NEC",Large accelerated filer,other,"['NYSE', 'OTC']",31-12,U3
185,1535527,CRWD,"CrowdStrike Holdings, Inc.",7372,Services-Prepackaged Software,Large accelerated filer,operating,['Nasdaq'],31-01,DE
186,36104,USB,US BANCORP \DE\,6021,National Commercial Banks,Large accelerated filer,operating,"['NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE']",31-12,DE
187,1303523,BTI,British American Tobacco p.l.c.,2111,Cigarettes,Large accelerated filer,other,"['NYSE', 'OTC']",,
188,821189,EOG,EOG RESOURCES INC,1311,Crude Petroleum & Natural Gas,Large accelerated filer,operating,['NYSE'],31-12,DE
189,1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/,7011,Hotels & Motels,Large accelerated filer,operating,['Nasdaq'],31-12,DE
190,1132597,ITUB,Itau Unibanco Holding S.A.,6022,State Commercial Banks,Large accelerated filer,other,['NYSE'],31-12,D5
191,27419,TGT,TARGET CORP,5331,Retail-Variety Stores,Large accelerated filer,operating,['NYSE'],01-02,MN
192,21665,CL,COLGATE PALMOLIVE CO,2844,"Perfumes, Cosmetics & Other Toilet Preparations",Large accelerated filer,operating,['NYSE'],31-12,DE
193,1075124,TRI,THOMSON REUTERS CORP /CAN/,2741,Miscellaneous Publishing,,other,['NYSE'],31-12,A6
194,1633917,PYPL,"PayPal Holdings, Inc.",7389,"Services-Business Services, NEC",Large accelerated filer,operating,['Nasdaq'],31-12,
195,1022837,SMFG,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",6029,"Commercial Banks, NEC",Large accelerated filer,other,"['NYSE', 'OTC']",31-03,M0
196,1640147,SNOW,Snowflake Inc.,7372,Services-Prepackaged Software,Large accelerated filer,operating,['NYSE'],31-01,DE
