account_name,cluster
AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,5
AllowanceForLoanAndLeaseLossesWriteOffs,5
AllowanceForLoanAndLeaseLossesWriteoffsNet,5
AllowanceForNotesAndLoansReceivableCurrent,2
AllowanceForNotesAndLoansReceivableNoncurrent,2
AllowanceForNotesReceivable,14
AlternativeInvestmentsFairValueDisclosure,4
AmortizationMethodQualifiedAffordableHousingProjectInvestments,2
AmortizationMethodQualifiedAffordableHousingProjectInvestmentsAmortization,2
AmortizationOfAcquiredIntangibleAssets,1
AmortizationOfDebtDiscountPremium,3
AmortizationOfDeferredCharges,17
AmortizationOfDeferredHedgeGains,7
AmortizationOfESOPAward,2
AmortizationOfFinancingCosts,17
AmortizationOfFinancingCostsAndDiscounts,2
AmortizationOfIntangibleAssets,17
AmortizationOfLeasedAsset,17
AmortizationOfMortgageServicingRightsMSRs,2
AmountOfDilutiveSecuritiesESOPConvertiblePreferredStock,10
AmountOfDilutiveSecuritiesStockOptionsAndRestrictiveStockUnits,10
AmountOfIneffectivenessOnNetInvestmentHedges,7
AmountRecognizedInIncomeDueToInflationaryAccounting,6
AmountRecognizedInNetPeriodicBenefitCostAndOtherComprehensiveIncomeLossBeforeTax,9
AncillaryFeeIncomeGeneratedByServicingFinancialAssetsAmount,6
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,10
AociIncludingPortionAttributableToNoncontrollingInterestPeriodIncreaseDecrease,6
AociIncludingPortionAttributableToNoncontrollingInterestTax,3
AociLiabilityForFuturePolicyBenefitExpectedFuturePolicyBenefitBeforeTax,9
AociLiabilityForFuturePolicyBenefitExpectedNetPremiumBeforeTax,9
AociLossCashFlowHedgeCumulativeGainLossAfterTax,3
AociTaxAttributableToParent,3
ApplicationOfRecognitionProvisionsOfSFAS158EffectOnAccumulatedOtherComprehensiveIncomeNetOfTax,3
AreaOfRealEstateProperty,2
AssetBackedSecuritiesAtCarryingValue,13
AssetImpairmentCharges,17
AssetManagementFees,17
AssetManagementFees1,17
AssetRetirementObligation,14
AssetRetirementObligationsNoncurrent,14
Assets,14
AssetsAverageOutstanding,13
AssetsCurrent,15
AssetsDisposedOfByMethodOtherThanSaleInPeriodOfDispositionGainLossOnDisposition1,3
AssetsFairValueAdjustment,7
AssetsFairValueDisclosure,4
AssetsFairValueDisclosureNonrecurring,4
AssetsFairValueDisclosureRecurring,4
AssetsHeldByInsuranceRegulators,0
AssetsHeldForSaleAtCarryingValue,5
AssetsHeldForSaleCurrent,2
AssetsHeldForSaleLongLived,5
AssetsHeldForSaleLongLivedFairValueDisclosure,4
AssetsHeldForSaleNotPartOfDisposalGroup,2
AssetsHeldForSaleNotPartOfDisposalGroupCurrent,2
AssetsHeldForSaleOtherNoncurrent,2
AssetsHeldInTrust,0
AssetsNoncurrent,15
AssetsNoncurrentOtherThanNoncurrentInvestmentsAndPropertyPlantAndEquipment,15
AssetsOfDisposalGroupIncludingDiscontinuedOperation,2
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,2
AssetsSoldUnderAgreementsToRepurchaseRepurchaseLiability,0
AssumedLiabilityForUnpaidClaimsAndClaimsAdjustmentExpense,2
AssumedPremiumsEarned,17
AssumedPremiumsEarnedAccidentAndHealth,2
AssumedPremiumsEarnedPropertyAndCasualty,17
AssumptionForFairValueOnSecuritizationDateOfInterestsContinuedToBeHeldByTransferorServicingAssetsOrLiabilitiesDiscountRate,13
AssumptionForFairValueOnSecuritizationDateOfInterestsContinuedToBeHeldByTransferorServicingAssetsOrLiabilitiesPrepaymentSpeed,13
AssumptionForFairValueOnSecuritizationDateOfInterestsContinuedToBeHeldByTransferorServicingAssetsOrLiabilitiesWeightedAverageLife,13
AuctionMarketPreferredSecuritiesStockSeriesLiquidationValue,13
AuctionMarketPreferredSecuritiesStockSeriesValue,13
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,3
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,5
AvailableForSaleDebtSecuritiesAmortizedCostBasis,13
AvailableForSaleDebtSecuritiesGrossUnrealizedGain,5
AvailableForSaleDebtSecuritiesGrossUnrealizedLoss,5
AvailableForSaleEquitySecuritiesAccumulatedGrossUnrealizedGainBeforeTax,3
AvailableForSaleEquitySecuritiesAccumulatedGrossUnrealizedLossBeforeTax,5
AvailableForSaleEquitySecuritiesAmortizedCostBasis,13
AvailableForSaleEquitySecuritiesGrossUnrealizedGain,5
AvailableForSaleEquitySecuritiesGrossUnrealizedLoss,5
AvailableForSaleSecurities,14
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainLossBeforeTax,3
AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,5
AvailableForSaleSecuritiesAmortizedCost,13
AvailableForSaleSecuritiesAndHeldToMaturitySecurities,0
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLoss,3
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,3
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAccumulatedLoss,5
AvailableForSaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses,5
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,5
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,5
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,13
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,5
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,5
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,5
AvailableForSaleSecuritiesContinuousUnrealizedLossPositionTwelveMonthsOrLongerFairValue,5
AvailableForSaleSecuritiesCurrent,13
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsAmortizedCost,13
AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,13
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsAmortizedCost,13
AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,13
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,13
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,13
AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost,13
AvailableForSaleSecuritiesDebtMaturitiesFairValue,13
AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsAmortizedCostBasis,13
AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsFairValue,13
AvailableForSaleSecuritiesDebtMaturitiesRemainderOfFiscalYearAmortizedCostBasis,13
AvailableForSaleSecuritiesDebtMaturitiesRemainderOfFiscalYearFairValue,13
AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenAmortizedCostBasis,13
AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenFairValue,13
AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenAmortizedCostBasis,13
AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenFairValue,13
AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveAmortizedCostBasis,13
AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveFairValue,13
AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDate,13
AvailableForSaleSecuritiesDebtMaturitiesSingleMaturityDateAmortizedCostBasis,13
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,13
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,13
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateAmortizedCost,13
AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateFairValue,13
AvailableForSaleSecuritiesDebtSecurities,0
AvailableForSaleSecuritiesDebtSecuritiesCurrent,0
AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,0
AvailableForSaleSecuritiesEquitySecurities,0
AvailableForSaleSecuritiesEquitySecuritiesNoncurrent,0
AvailableForSaleSecuritiesFairValueDisclosure,4
AvailableForSaleSecuritiesGrossRealizedGainLossNet,3
AvailableForSaleSecuritiesGrossRealizedGains,5
AvailableForSaleSecuritiesGrossRealizedGainsLossesSaleProceeds,16
AvailableForSaleSecuritiesGrossRealizedLosses,5
AvailableForSaleSecuritiesGrossUnrealizedGainLoss,5
AvailableForSaleSecuritiesGrossUnrealizedGains,5
AvailableForSaleSecuritiesGrossUnrealizedLoss,5
AvailableForSaleSecuritiesGrossUnrealizedLosses1,5
AvailableForSaleSecuritiesNoncurrent,14
AvailableForSaleSecuritiesPledgedAsCollateral,0
AvailableForSaleSecuritiesRestricted,0
AvailableforsaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses1,5
AvailableforsaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses2,5
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses1,5
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses2,5
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses1,5
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses2,5
AvailableforsaleSecuritiesGrossRealizedGainLossExcludingOtherThanTemporaryImpairments,5
AvailableforsaleSecuritiesGrossRealizedLossesExcludingOtherThanTemporaryImpairments,5
AvailableforsaleSecuritiesGrossUnrealizedGain,5
AvailableforsaleSecuritiesGrossUnrealizedGainLoss1,5
AvailableforsaleSecuritiesTransfersToTradingGainsLossesExcludingOtherThanTemporaryImpairments,5
BadDebtReserveForTaxPurposesOfQualifiedLender,12
BankOverdrafts,14
BeneficialInterest,17
BenefitsLossesAndExpenses,17
BillingsInExcessOfCost,6
BorrowingsUnderGuaranteedInvestmentAgreements,0
BrokerageCommissionsRevenue,17
BuildingsAndImprovementsGross,17
BusinessAcquisitionContingentConsiderationAtFairValue,1
BusinessAcquisitionContingentConsiderationPotentialCashPayment,6
BusinessAcquisitionContingentConsiderationSharesIssuable,10
BusinessAcquisitionCostOfAcquiredEntityCashPaid,1
BusinessAcquisitionCostOfAcquiredEntityEquityInterestsIssuedAndIssuable,10
BusinessAcquisitionCostOfAcquiredEntityLiabilitiesIncurred,1
BusinessAcquisitionCostOfAcquiredEntityOtherNoncashConsideration,1
BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,1
BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,1
BusinessAcquisitionEquityInterestIssuedOrIssuableNumberOfSharesIssued,10
BusinessAcquisitionEquityInterestIssuedOrIssuableValueAssigned,13
BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,10
BusinessAcquisitionPercentageOfVotingInterestsAcquired,6
BusinessAcquisitionProFormaEarningsPerShareBasic,10
BusinessAcquisitionProFormaEarningsPerShareDiluted,10
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,3
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareBasic,3
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareDiluted,3
BusinessAcquisitionProFormaNetIncomeLoss,3
BusinessAcquisitionProFormaRevenue,2
BusinessAcquisitionPurchasePriceAllocationAmortizableIntangibleAssets,1
BusinessAcquisitionPurchasePriceAllocationAssetsAcquired,1
BusinessAcquisitionPurchasePriceAllocationAssetsAcquiredLiabilitiesAssumedNet,1
BusinessAcquisitionPurchasePriceAllocationCurrentAssets,1
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsCashAndCashEquivalents,1
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsInventory,1
BusinessAcquisitionPurchasePriceAllocationCurrentAssetsReceivables,1
BusinessAcquisitionPurchasePriceAllocationCurrentLiabilities,1
BusinessAcquisitionPurchasePriceAllocationCurrentLiabilitiesAccountsPayable,1
BusinessAcquisitionPurchasePriceAllocationCurrentLiabilitiesOtherLiabilities,1
BusinessAcquisitionPurchasePriceAllocationDeferredIncomeTaxesAssetLiabilityNet,1
BusinessAcquisitionPurchasePriceAllocationDeferredTaxLiabilitiesNoncurrent,1
BusinessAcquisitionPurchasePriceAllocationGoodwillAmount,1
BusinessAcquisitionPurchasePriceAllocationGoodwillExpectedTaxDeductibleAmount,1
BusinessAcquisitionPurchasePriceAllocationIntangibleAssetsNotAmortizable,1
BusinessAcquisitionPurchasePriceAllocationIntangibleAssetsOtherThanGoodwill,1
BusinessAcquisitionPurchasePriceAllocationLiabilitiesAssumed,1
BusinessAcquisitionPurchasePriceAllocationNoncurrentLiabilitiesLongTermDebt,1
BusinessAcquisitionPurchasePriceAllocationNotesPayableAndLongTermDebt,14
BusinessAcquisitionPurchasePriceAllocationOtherAssets,1
BusinessAcquisitionPurchasePriceAllocationOtherNoncurrentAssets,1
BusinessAcquisitionPurchasePriceAllocationOtherNoncurrentLiabilities,1
BusinessAcquisitionPurchasePriceAllocationProjectedBenefitObligationAsset,9
BusinessAcquisitionPurchasePriceAllocationPropertyPlantAndEquipment,1
BusinessAcquisitionPurchasePriceAllocationTangibleAssets,1
BusinessAcquisitionSharePrice,13
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,3
BusinessAcquisitionsProFormaNetIncomeLoss,3
BusinessAcquisitionsProFormaRevenue,2
BusinessCombinationAcquiredReceivablesEstimatedUncollectible,2
BusinessCombinationAcquiredReceivablesFairValue,1
BusinessCombinationAcquiredReceivablesGrossContractualAmount,13
BusinessCombinationAcquisitionOfLessThan100PercentNoncontrollingInterestFairValue,7
BusinessCombinationAcquisitionRelatedCosts,1
BusinessCombinationBargainPurchaseGainRecognizedAmount,1
BusinessCombinationConsiderationTransferred,1
BusinessCombinationConsiderationTransferred1,6
BusinessCombinationConsiderationTransferredEquityInterestsIssuedAndIssuable,10
BusinessCombinationConsiderationTransferredIncludingEquityInterestInAcquireeHeldPriorToCombination1,10
BusinessCombinationConsiderationTransferredLiabilitiesIncurred,1
BusinessCombinationConsiderationTransferredOther1,6
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability,10
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,6
BusinessCombinationContingentConsiderationArrangementsChangeInTheRangeOfOutcomesContingentConsiderationLiabilityValueHigh,6
BusinessCombinationContingentConsiderationArrangementsRangeOfOutcomesValueHigh,6
BusinessCombinationContingentConsiderationAsset,1
BusinessCombinationContingentConsiderationLiability,1
BusinessCombinationContingentConsiderationLiabilityCurrent,1
BusinessCombinationContingentConsiderationLiabilityNoncurrent,1
BusinessCombinationIntegrationRelatedCosts,17
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,6
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,13
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentFinancialAssets,1
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentIntangibles,1
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentInventory,6
BusinessCombinationProvisionalInformationInitialAccountingIncompleteAdjustmentPropertyPlantAndEquipment,2
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCapitalLeaseObligation,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedContingentLiability,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssets,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsMarketableSecurities,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsOther,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilities,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesOther,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxAssets,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxAssetsCurrent,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxAssetsNoncurrent,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilities,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilitiesNoncurrent,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIndefiniteLivedIntangibleAssets,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedInventory,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilities,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesOther,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedLessNoncontrollingInterest,1
BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,1
BusinessCombinationSeparatelyRecognizedTransactionsAdditionalDisclosuresAcquisitionCostExpensed,6
BusinessCombinationSeparatelyRecognizedTransactionsAdditionalDisclosuresAcquisitionCosts,6
BusinessCombinationSeparatelyRecognizedTransactionsAssetsRecognized,1
BusinessCombinationSeparatelyRecognizedTransactionsLiabilitiesRecognized,1
BusinessCombinationSeparatelyRecognizedTransactionsNetGainsAndLosses,7
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGain,3
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGainOrLoss,3
BusinessExitCosts,17
BusinessExitCosts1,17
Capital,14
CapitalExpendituresIncurredButNotYetPaid,2
CapitalLeaseObligations,14
CapitalLeaseObligationsCurrent,15
CapitalLeaseObligationsIncurred,14
CapitalLeaseObligationsNoncurrent,14
CapitalLeasedAssetsGross,2
CapitalLeasedAssetsNumberOfUnits,13
